ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"213043235218661376"|DiogoFNunes|"team"|"7184"||""|"Tão bom de tão mau que é RT @Pherreyra Ahahahah, isto é o pior vídeo motivacional de sempre! #Portugal #Euro2012 http://t.co/KRXoRX2w…"|"Tão bom de tão mau que é RT @Pherreyra Ahahahah, isto é o pior vídeo motivacional de sempre! #Portugal #Euro2012 http://t.co/KRXoRX2w…"
"213042619775860736"|jsantanalopes|"team"|"7184"||""|"E o Cristiano recebeu o prémio Di Stefano da Marca, para o melhor jogador da liga espanhola. Domingo será o teu dia. #Portugal #euro2012"|"E o Cristiano recebeu o prémio Di Stefano da Marca, para o melhor jogador da liga espanhola. Domingo será o teu dia. #Portugal #euro2012"
"213041042277146624"|Pedr0Ferreira|"player"|"198"||""|"x4 RT @matias_pedro: x3 RT @BNunes88: x2 RT @RitaMatos: estou tão de acordo... http://t.co/qiW7HsbI #Ronaldo #euro2012"|"x4 RT @matias_pedro: x3 RT @BNunes88: x2 RT @RitaMatos: estou tão de acordo... http://t.co/qiW7HsbI #Ronaldo #euro2012"
"213040199603732480"|coelhojoana|"team"|"7184"||""|"Selecção nacional de #Portugal ! Parabéns ! Bom futebol ! Boa equipa ! Boas jogadas ! Estou com vocês até ao fim ! #EURO2012"|"Selecção nacional de #Portugal ! Parabéns ! Bom futebol ! Boa equipa ! Boas jogadas ! Estou com vocês até ao fim ! #EURO2012"
"213034014045503488"|itsanalucia|"team"|"7184"||""|"Nunca mais é domingo... #portugal #euro2012"|"Nunca mais é domingo... #portugal #euro2012"
"213033008691810304"|NoneEvo|"team"|"7184"||""|"#caracóis #portugal #euro2012 #today http://t.co/Tpy0cZ0y"|"#caracóis #portugal #euro2012 #today http://t.co/Tpy0cZ0y"
"213028120809308160"|joanafncorreia|"team"|"7184"||""|"RT @sofiag_hlnlz_1D: My GOD! What a game... This was insane to watch. My heart almost broke with so many emotions! #Portugal #Euro2012"|"RT @sofiag_hlnlz_1D: My GOD! What a game... This was insane to watch. My heart almost broke with so many emotions! #Portugal #Euro2012"
"213028119534239745"|joanafncorreia|"team"|"7184"||""|"RT @sofiag_hlnlz_1D: 3-2 for Portugal , is trending! #Euro2012 #Portugal"|"RT @sofiag_hlnlz_1D: 3-2 for Portugal , is trending! #Euro2012 #Portugal"
"213023695931834369"|flemingpt|"team"|"7180"||""|"In Concreto: Euro 2012 - Joachim Low em "boss mode" ! #gif #low #germany #deutschland #netherlands #euro2012 http://t.co/rV0VYJLP"|"In Concreto: Euro 2012 - Joachim Low em "boss mode" ! #gif #low #germany #deutschland #netherlands #euro2012 http://t.co/rV0VYJLP"
"213023695931834369"|flemingpt|"team"|"7165"||""|"In Concreto: Euro 2012 - Joachim Low em "boss mode" ! #gif #low #germany #deutschland #netherlands #euro2012 http://t.co/rV0VYJLP"|"In Concreto: Euro 2012 - Joachim Low em "boss mode" ! #gif #low #germany #deutschland #netherlands #euro2012 http://t.co/rV0VYJLP"
