DATE|ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
2012-09-07 12:29:29|"244049751996256256"|19368263|"ppcoelho"|"austeridade"|0|"Targets: passos coelho,austeridade"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade - Jornal de negócios online http://t.co/kXFWD9cf via @jornaldnegocios"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade - Jornal de negócios online http://t.co/kXFWD9cf via @jornaldnegocios"
2012-09-07 12:42:48|"244053100158132224"|249869615|"ppcoelho"|"austeridade"|0|"Targets: austeridade"|"RT @__tomaz: Mais um anuncio de austeridade meia hora antes de um jogo em q previsivel/ Portugal vai ganhar. Apesar de resultar com este ..."|"RT @__tomaz: Mais um anuncio de austeridade meia hora antes de um jogo em q previsivel/ Portugal vai ganhar. Apesar de resultar com este ..."
2012-09-07 12:42:00|"244052902153437184"|21890926|"ppcoelho"|"austeridade"|1|"Targets: austeridade;Positive Interjection:  vai "|"Mais um anuncio de austeridade meia hora antes de um jogo em q previsivel/ Portugal vai ganhar. Apesar de resultar com este povo. Ofende-me!"|"Mais um anuncio de austeridade meia hora antes de um jogo em q previsivel/ Portugal vai ganhar. Apesar de resultar com este povo. Ofende-me!"
2012-09-07 12:41:21|"244052736201613312"|14239475|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Adorava que isto acontecesse ao Nuno Crato... Vá! E ao Passos Coelho também... http://t.co/BXdVoVoe"|"Adorava que isto acontecesse ao Nuno Crato... Vá! E ao Passos Coelho também... http://t.co/BXdVoVoe"
2012-09-07 13:03:50|"244058393466241024"|22476819|"ppcoelho"|"austeridade"|0|"Targets: passos coelho,austeridade"|"Vem ai merda...."@RTPNoticias: Passos Coelho anuncia hoje medidas de austeridade antes do Portugal-Luxemburgo. http://t.co/Fu63yqJW""|"Vem ai merda...."@RTPNoticias: Passos Coelho anuncia hoje medidas de austeridade antes do Portugal-Luxemburgo. http://t.co/Fu63yqJW""
2012-09-07 13:19:37|"244062366621388800"|77826352|"ppcoelho"|"austeridade"|0|"Targets: passos coelho,austeridade"|"RT @omalestafeito: "Passos Coelho anuncia mais austeridade"  ,  Cavaco: "Mais austeridade deve ser para os que não as suportam" Ufa! Já  ..."|"RT @omalestafeito: "Passos Coelho anuncia mais austeridade"  ,  Cavaco: "Mais austeridade deve ser para os que não as suportam" Ufa! Já  ..."
2012-09-07 13:22:48|"244063166575808512"|77826352|"ppcoelho"|"austeridade"|0|"Targets: austeridade"|"RT @omalestafeito: coitados dos açorianos , vão ter austeridade uma hora mais cedo"|"RT @omalestafeito: coitados dos açorianos , vão ter austeridade uma hora mais cedo"
2012-09-07 13:23:39|"244063380934098944"|64442125|"ppcoelho"|"austeridade"|-1|"Targets: austeridade;Regra "[VCOP] [Adj-] ? Neg"->  é insuportável "|"@omalestafeito tenho a certeza que já te vi a dizer, "tanta austeridade é insuportável " tas lixado..."|"@omalestafeito tenho a certeza que já te vi a dizer, "tanta austeridade é insuportável " tas lixado..."
2012-09-07 13:21:08|"244062748198182914"|25059844|"ppcoelho"|"austeridade"|0|"Targets: austeridade"|"RT @omalestafeito: coitados dos açorianos , vão ter austeridade uma hora mais cedo"|"RT @omalestafeito: coitados dos açorianos , vão ter austeridade uma hora mais cedo"
2012-09-07 13:39:47|"244067440479330304"|219475181|"ppcoelho"|"austeridade"|0|"Targets: primeiro-ministro,austeridade"|"O Primeiro-Ministro escolheu a horita antes do jogo para as novidades acerca da austeridade para ver se o pessoal se distrai com o jogo?"|"O Primeiro-Ministro escolheu a horita antes do jogo para as novidades acerca da austeridade para ver se o pessoal se distrai com o jogo?"
