ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"66580764204073000"|Teste|"jsocrates"|"sócrates"|-1|"; sentiTokens:terrível(-1) inveja(-1) ; score:-2;"|"#apombalivre: O catroga , para tentar chamar a atenção de Sócrates fez de tudo. Até cartas. A inveja é uma coisa terrível. #fmi"|"#apombalivre: o catroga , para tentar chamar a atenção de sócrates fez de tudo. até cartas. a inveja é uma coisa terrível. #fmi"
"66587157678137400"|Teste|"jsocrates"|"sócrates"|1|"; sentiTokens:boas(1) ; score:1;"|"Teixeira dos Santos discorda de Sócrates: Acordo com troika não traz boas notícias http://bit.ly/lqX7u8"|"teixeira dos santos discorda de sócrates: acordo com troika não traz boas notícias http://bit.ly/lqx7u8"
"66589760050831400"|Teste|"jsocrates"|"sócrates"|-1|";Heavy Punctuation: ???"|"Quem está a filmar este directo de Sócrates em Portimão???"|"quem está a filmar este directo de sócrates em portimão???"
"66590054562275300"|Teste|"ppcoelho"|"passos coelho"|-1|"; sentiTokens:enlouqueceu(-1) planos(0) ; score:-1;"|"A TVI enlouqueceu. Agora é com Passos Coelho... Será da minha televisão? Não conseguem acertar com os planos..."|"a tvi enlouqueceu. agora é com passos_coelho... será da minha televisão? não conseguem acertar com os planos..."
"66591244792504300"|Teste|"jsocrates"|"sócrates"|-1|"; sentiTokens:calúnias(-1) nada(0) ; score:-1;"|"RT @mariomtteixeira: Atacaram Sócrates politicamente e pessoalmente, lançaram calúnias... trinta por uma linha..e afinal nada conseguem. ..."|"rt @mariomtteixeira: atacaram sócrates politicamente e pessoalmente, lançaram calúnias... trinta por uma linha..e afinal nada conseguem. ..."
"66591610011533300"|Teste|"jsocrates"|"sócrates"|-1|"; sentiTokens:calúnias(-1) nada(0) ; score:-1;"|"RT @mariomtteixeira: Atacaram Sócrates politicamente e pessoalmente, lançaram calúnias... trinta por uma linha..e afinal nada conseguem. ..."|"rt @mariomtteixeira: atacaram sócrates politicamente e pessoalmente, lançaram calúnias... trinta por uma linha..e afinal nada conseguem. ..."
"66593603312554000"|Teste|"jsocrates"|"sócrates"|-1|"; sentiTokens:calúnias(-1) nada(0) ; score:-1;"|"RT @mariomtteixeira: Atacaram Sócrates politicamente e pessoalmente, lançaram calúnias... trinta por uma linha..e afinal nada conseguem. ..."|"rt @mariomtteixeira: atacaram sócrates politicamente e pessoalmente, lançaram calúnias... trinta por uma linha..e afinal nada conseguem. ..."
"66594342801911800"|Teste|"pportas"|"portas"|-1|"; sentiTokens:dado(0) endividamento(-1) ; score:-1;"|"#debate Portas diz que ajuda externa se tornou inevitável dado o estado de endividamento do país, mas pede ética social"|"#debate portas diz que ajuda externa se tornou inevitável dado o estado de endividamento do país, mas pede ética social"
"66595274021277700"|Teste|"pportas"|"portas"|-1|"; sentiTokens:endividamento(-1) ; score:-1;"|"#debate portas lembra os avisos que fez nos últimos anos acerca do endividamento excessivo do estado"|"#debate portas lembra os avisos que fez nos últimos anos acerca do endividamento excessivo do estado"
"66595504175333400"|Teste|"pportas"|"portas"|1|"; sentiTokens:elogio(1) nova(0) ; score:1;"|"O homem quer ser PM RT @fmsa: #debate o elogio de Portas a Cavaco é o início de uma nova troika"|"o homem quer ser pm rt @fmsa: #debate o elogio de portas a cavaco é o início de uma nova troika"
"66595777409056800"|Teste|"pportas"|"portas"|-1|"; sentiTokens:perigosa(-1) ; score:-1;"|"#debate Portas diz que a proposta do PCP não é praticável e que é «perigosa»"|"#debate portas diz que a proposta do pcp não é praticável e que é «perigosa»"
"66595853158187000"|Teste|"pportas"|"paulo portas"|1|"; sentiTokens:jerónimo(0) bom(1) ; score:1;"|"#debate Jerónimo está a ser um bom primeiro adversário para Paulo Portas."|"#debate jerónimo está a ser um bom primeiro adversário para paulo_portas."
"66595877921361900"|Teste|"pportas"|"portas"|-1|"; sentiTokens:alegadas(-1) ; score:-1;"|"José Sócrates vai parar no hosp Sobral Cid por alegadas alucinações: diz que ouve Portas a bater e Passos de coelho. {Interna da Tugolândia}"|"josé sócrates vai parar no hosp sobral cid por alegadas alucinações: diz que ouve portas a bater e passos de coelho. {interna da tugolândia}"
"66595899744337900"|Teste|"jsocrates"|"sócrates"|1|"; sentiTokens:certos(1) nada(0) ; score:1;"|"Mais que o PSD, certos comentadores passam noites a estudar a maneira de deitar Sócrates abaixo e...nada."|"mais que o psd, certos comentadores passam noites a estudar a maneira de deitar sócrates abaixo e...nada."
"66595934456397800"|Teste|"jsousa"|"jerónimo de sousa"|-1|"; sentiTokens:imbecil(-1) fazer_figura_triste(-1) jerónimo(0) ; score:-2;"|"Paulo Portas a fazer figura triste em debate com Jerónimo de Sousa a dizer q Se eu cseguir ser 1º ministro... Parece 1 imbecil papagaio!"|"paulo portas a fazer_figura_triste em debate com jerónimo de sousa a dizer q se eu cseguir ser 1º ministro... parece 1 imbecil papagaio!"
"66596092749426700"|Teste|"pportas"|"portas"|1|"; sentiTokens:são(1) ; score:1;"|"#debate portas diz que as propostas do pcp são insuficientes para as necessidades do país"|"#debate portas diz que as propostas do pcp são insuficientes para as necessidades do país"
"66596187813318700"|Teste|"pportas"|"portas"|1|"; sentiTokens:pública(0) segurança(1) ; score:1;"|"#debate Portas diz q fundo de estabilização da segurança social não conseguiria comprar dívida pública suficiente e poria em causa pensões"|"#debate portas diz q fundo de estabilização da segurança social não conseguiria comprar dívida pública suficiente e poria em causa pensões"
"66596324459548700"|Teste|"pportas"|"portas"|-1|"; sentiTokens:perigosa(-1) ; score:-1;"|"Se dissesse o contrário era notícia... RT @sara_marques: #debate Portas diz que a proposta do PCP não é praticável e que é «perigosa»"|"se dissesse o contrário era notícia... rt @sara_marques: #debate portas diz que a proposta do pcp não é praticável e que é «perigosa»"
"66597356413534200"|Teste|"ppcoelho"|"ppc"|-1|";Heavy Punctuation: á?? "|"Já?? Debates?? Qdo são as eleições?? Como é que o PPC vai chegar à Maioria absoluta?"|"já?? debates?? qdo são as eleições?? como é que o ppc vai chegar à maioria absoluta?"
"66597694327627800"|Teste|"jsocrates"|"sócrates"|-1|"; sentiTokens:irrita(-1) ; score:-1;"|"Mesma linha de Sócrates Não governo com FMI  RT @Jo4nito: Paulo Portas, em 2011: «se eu for primeiro ministro»(...) . irrita ou sou só eu?"|"mesma linha de sócrates não governo com fmi  rt @jo4nito: paulo_portas, em 2011: «se eu for primeiro ministro»(...) . irrita ou sou só eu?"
"66597794487607300"|Teste|"pportas"|"portas"|1|"; sentiTokens:sucesso(1) ; score:1;"|"RT @x_coimbra: #debate Portas também podia falar das intervenções do FMI que conhece e que tenham sido um grande sucesso. Assim tipo Ind ..."|"rt @x_coimbra: #debate portas também podia falar das intervenções do fmi que conhece e que tenham sido um grande sucesso. assim tipo ind ..."
"66598469774737400"|Teste|"jsocrates"|"socrates"|1|"; sentiTokens:educação(1) são(1) ; score:2;"|"#socrates Apoio social, educação, energias renováveis, exportações, saúde são prioridades assumidas"|"#socrates apoio social, educação, energias renováveis, exportações, saúde são prioridades assumidas"
"66599162321453100"|Teste|"pportas"|"portas"|-1|";LOL: lol."|"LOL. no coracao do PP arde 1 chaminha Comunista @jcaetanodias Portas está a explicar que também teve a sua contribuição p/ o estoiro #debate"|"lol. no coracao do pp arde 1 chaminha comunista @jcaetanodias portas está a explicar que também teve a sua contribuição p/ o estoiro #debate"
"66599712974839800"|Teste|"pportas"|"paulo portas"|-1|"; sentiTokens:gritante(-1) mediocridade(-1) ; score:-2;"|"YOu got it! RT: @Dputamadre O Entrevistador Toma as dores do Paulo Portas - que mediocridade profissional Gritante . #RTP1"|"you got it! rt: @dputamadre o entrevistador toma as dores do paulo_portas - que mediocridade profissional gritante . #rtp1"
"66599823071125500"|Teste|"pportas"|"portas"|-1|";Heavy Punctuation: »?! "|"RT @RicardoGAlves: #debate  «Deputado»?! Quando falar com o PPC, o Portas vai tratá-lo como?"|"rt @ricardogalves: #debate  «deputado»?! quando falar com o ppc, o portas vai tratá-lo como?"
"66599823071125500"|Teste|"ppcoelho"|"ppc"|-1|";Heavy Punctuation: »?! "|"RT @RicardoGAlves: #debate  «Deputado»?! Quando falar com o PPC, o Portas vai tratá-lo como?"|"rt @ricardogalves: #debate  «deputado»?! quando falar com o ppc, o portas vai tratá-lo como?"
"66599860513681400"|Teste|"pportas"|"portas"|1|"; sentiTokens:jerónimo(0) patriota(1) ; score:1;"|"#debate Acha que é anti-patriota ir falar com a troika, pergunta Portas a Jerónimo"|"#debate acha que é anti-patriota ir falar com a troika, pergunta portas a jerónimo"
"66599874174517300"|Teste|"pportas"|"portas"|-1|";Interjection:  merda "|"Oh @rtppt, então o Sousa não consegue acabar um raciocínio e o Portas nunca é interrompido? Mas q merda de moderação é esta? #fb"|"oh @rtppt, então o sousa não consegue acabar um raciocínio e o portas nunca é interrompido? mas q merda de moderação é esta? #fb"
"66599892302311400"|Teste|"pportas"|"portas"|-1|"; sentiTokens:jerónimo(0) incomoda(-1) ; score:-1;"|"#Debate Portas usa Carvalho da Silva para incomodar Jerónimo. E incomoda."|"#debate portas usa carvalho da silva para incomodar jerónimo. e incomoda."
"66600114973708300"|Teste|"jsousa"|"jerónimo de sousa"|1|";Regra "[VCOP] [Adj+] ? Pos""->  é preciso "|"#debate há alturas em que é preciso dizer não, diz Jerónimo de Sousa"|"#debate há alturas em que é preciso dizer não, diz jerónimo de sousa"
"66600284524265500"|Teste|"pportas"|"portas"|1|"; sentiTokens:são(1) jerónimo(0) ; score:1;"|"@RuiCostaPinto estou a falar de tom de voz e linguagem corporal. Esquece quem são e o q dizem, olha pro Portas e Jerónimo e diz-me quemganha"|"@ruicostapinto estou a falar de tom de voz e linguagem corporal. esquece quem são e o q dizem, olha pro portas e jerónimo e diz-me quemganha"
"66600609733804000"|Teste|"jsocrates"|"sócrates"|1|"; sentiTokens:directos(0) santa(1) ; score:1;"|"Patéticos os directos do Jornal das 8 da TVI para Portimão (Sócrates) e Santa Maria da Feira (P.Coelho) à caça de um 'sound bite'..."|"patéticos os directos do jornal das 8 da tvi para portimão (sócrates) e santa maria da feira (p.coelho) à caça de um 'sound bite'..."
