
    
@relation twitometro

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE rulePos NUMERIC
@ATTRIBUTE ruleNeg NUMERIC
@ATTRIBUTE cluePos NUMERIC
@ATTRIBUTE clueNeg NUMERIC
@ATTRIBUTE sentiPos NUMERIC
@ATTRIBUTE sentiNeut NUMERIC
@ATTRIBUTE sentiNeg NUMERIC
@ATTRIBUTE pol? {1,0,-1}
@ATTRIBUTE lixo {lixo,naoLixo}

@data

209005594366058000,0,-1,0,0,0,0,10,0,lixo
209005109403856000,0,0,0,0,1,1,2,0,lixo
209013183367753000,0,0,0,0,0,0,5,-1,lixo
209002091442733000,0,-1,0,0,0,0,2,-1,lixo
209002149689049000,0,0,1,0,1,0,0,1,lixo
208999909955874000,0,0,0,0,0,1,0,1,lixo
209009965095075000,0,0,0,0,0,0,2,-1,lixo
209009982904090000,0,-1,0,0,0,0,1,-1,lixo
209010565690048000,0,0,0,0,0,0,2,-1,lixo
209010238110703000,0,0,0,0,0,0,2,-1,lixo
209010424899837000,0,0,0,0,0,0,2,-1,lixo
209010094644539000,0,0,0,0,0,0,2,-1,lixo
209010348362178000,0,0,0,0,0,0,2,-1,lixo
209002335966478000,0,-1,1,0,1,0,2,1,lixo
209002383638921000,0,0,0,0,0,0,3,-1,lixo
209002481735311000,0,0,1,0,1,0,0,1,lixo
209002530850615000,0,-1,0,-1,0,0,1,-1,lixo
209002745036943000,0,0,1,0,1,0,0,1,lixo
209003255919951000,0,-1,0,0,0,0,2,-1,lixo
209003252031819000,0,0,0,0,1,0,0,0,lixo
209002862997544000,0,0,0,0,2,0,6,-1,lixo
209002910963613000,0,-1,0,0,3,0,3,-1,lixo
209003433821339000,0,-1,0,0,0,0,2,0,lixo
209009692662444000,0,0,0,0,0,0,2,-1,lixo
208998946931085000,0,0,1,0,1,0,0,1,lixo
208998963657981000,0,0,0,-1,0,0,0,0,lixo
208999701083734000,0,0,0,0,4,0,0,1,lixo
208999102657200000,0,0,0,0,0,0,2,0,lixo
208998823039733000,1,0,0,0,0,0,0,1,lixo
209008344210485000,0,0,0,0,0,0,1,-1,lixo
209008540801699000,0,0,0,0,3,1,2,-1,lixo
209008692333527000,1,0,0,0,4,0,1,1,lixo
209021533266509000,0,0,0,0,2,0,0,0,lixo
209003538620231000,0,-1,0,0,0,0,2,0,lixo
209003718031577000,1,0,0,0,2,0,0,0,lixo
209003766601617000,0,-1,0,0,0,0,2,0,lixo
209004132588199000,0,0,0,0,0,0,5,-1,lixo
209003658665394000,0,0,1,0,1,0,0,0,lixo
209011667454009000,0,0,0,0,0,0,2,0,lixo
209011211684167000,0,0,0,-1,0,1,4,0,lixo
209011075021156000,0,0,0,-1,0,1,4,0,lixo
209006835724853000,0,0,0,0,4,1,2,1,lixo
209006671962447000,0,-1,0,0,0,0,10,0,lixo
209014276105584000,0,0,0,-1,0,0,2,-1,lixo
209014359156981000,0,0,0,-1,0,0,2,-1,lixo
209014470196994000,0,0,1,0,0,0,0,0,lixo
209013737615659000,0,0,0,0,0,0,1,0,lixo
209021291884322000,0,0,0,0,0,0,1,1,lixo
209005653128261000,0,-1,0,0,0,0,10,0,lixo
209006111007834000,0,-1,0,0,0,0,10,0,lixo
209006530589233000,0,-1,0,0,0,0,10,0,lixo
209006538512269000,0,-1,0,0,0,0,10,0,lixo
209005894984409000,0,-1,0,0,0,0,10,0,lixo
209005736964001000,0,-1,0,0,0,0,10,0,lixo
209012559653777000,0,0,1,0,1,0,0,1,lixo
209012589122949000,0,-2,0,0,1,1,4,0,lixo
209012102063587000,0,-2,0,0,1,1,4,0,lixo
209012172871831000,0,0,0,0,0,0,2,-1,lixo
208996693486743000,0,0,1,0,2,0,0,1,lixo
208997411648057000,0,0,0,0,0,1,0,0,lixo
208998515437871000,0,0,0,0,0,1,0,1,lixo
208998520210997000,1,0,0,0,1,0,0,0,lixo
